transaction_date,product_id,product_name,category,units_sold,revenue,cogs,gross_margin,transactions,margin_pct,lag_1d,lag_7d,lag_14d,rolling_7d_avg,rolling_30d_avg,day_of_week,day_of_week_num,is_weekend,month,week,year,quarter,is_holiday_window,holiday_name,demand_multiplier,days_to_holiday
2024-01-08,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,6,65.71,15.0,11.0,,11.0,11.0,Monday,0,False,1,2,2024,1,False,,1.0,30
2024-01-09,P001,Butter Croissant,Pastry,18,63.0,21.599999999999998,41.4,11,65.71,13.0,9.0,,11.285714285714286,11.25,Tuesday,1,False,1,2,2024,1,False,,1.0,30
2024-01-10,P001,Butter Croissant,Pastry,6,21.0,7.2,13.799999999999999,4,65.71,18.0,10.0,,12.571428571428571,12.0,Wednesday,2,False,1,2,2024,1,False,,1.0,30
2024-01-11,P001,Butter Croissant,Pastry,7,24.5,8.4,16.099999999999998,3,65.71,6.0,11.0,,12.0,11.4,Thursday,3,False,1,2,2024,1,False,,1.0,30
2024-01-12,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,8,65.71,7.0,4.0,,11.428571428571429,11.0,Friday,4,False,1,2,2024,1,False,,1.0,30
2024-01-13,P001,Butter Croissant,Pastry,6,21.0,7.199999999999999,13.799999999999999,4,65.71,11.0,17.0,,12.428571428571429,11.0,Saturday,5,True,1,2,2024,1,False,,1.0,30
2024-01-14,P001,Butter Croissant,Pastry,12,42.0,14.4,27.6,5,65.71,6.0,15.0,,10.857142857142858,10.615384615384615,Sunday,6,True,1,2,2024,1,False,,1.0,30
2024-01-15,P001,Butter Croissant,Pastry,2,7.0,2.4,4.6,2,65.71,12.0,13.0,11.0,10.428571428571429,10.714285714285714,Monday,0,False,1,3,2024,1,False,,1.0,30
2024-01-17,P001,Butter Croissant,Pastry,2,7.0,2.4,4.6,2,65.71,2.0,18.0,9.0,8.857142857142858,10.133333333333333,Wednesday,2,False,1,3,2024,1,False,,1.0,28
2024-01-18,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,6,65.71,2.0,6.0,10.0,6.571428571428571,9.625,Thursday,3,False,1,3,2024,1,False,,1.0,27
2024-01-19,P001,Butter Croissant,Pastry,5,17.5,6.0,11.5,4,65.71,16.0,7.0,11.0,8.0,10.0,Friday,4,False,1,3,2024,1,False,,1.0,26
2024-01-20,P001,Butter Croissant,Pastry,17,59.5,20.4,39.099999999999994,11,65.71,5.0,11.0,4.0,7.714285714285714,9.722222222222221,Saturday,5,True,1,3,2024,1,False,,1.0,25
2024-01-21,P001,Butter Croissant,Pastry,17,59.5,20.4,39.099999999999994,10,65.71,17.0,6.0,17.0,8.571428571428571,10.105263157894736,Sunday,6,True,1,3,2024,1,False,,1.0,24
2024-01-22,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,10,65.71,17.0,12.0,15.0,10.142857142857142,10.45,Monday,0,False,1,4,2024,1,False,,1.0,23
2024-01-23,P001,Butter Croissant,Pastry,7,24.5,8.4,16.1,5,65.71,15.0,2.0,13.0,10.571428571428571,10.666666666666666,Tuesday,1,False,1,4,2024,1,False,,1.0,22
2024-01-24,P001,Butter Croissant,Pastry,12,42.0,14.4,27.599999999999998,7,65.71,7.0,2.0,18.0,11.285714285714286,10.5,Wednesday,2,False,1,4,2024,1,False,,1.0,21
2024-01-25,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,8,65.71,12.0,16.0,6.0,12.714285714285714,10.565217391304348,Thursday,3,False,1,4,2024,1,False,,1.0,20
2024-01-26,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,5,65.71,16.0,5.0,7.0,12.714285714285714,10.791666666666666,Friday,4,False,1,4,2024,1,False,,1.0,19
2024-01-27,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,11.0,17.0,11.0,13.571428571428571,10.8,Saturday,5,True,1,4,2024,1,False,,1.0,18
2024-01-28,P001,Butter Croissant,Pastry,12,42.0,14.4,27.6,6,65.71,13.0,17.0,6.0,13.0,10.884615384615385,Sunday,6,True,1,4,2024,1,False,,1.0,17
2024-01-29,P001,Butter Croissant,Pastry,6,21.0,7.2,13.8,4,65.71,12.0,15.0,12.0,12.285714285714286,10.925925925925926,Monday,0,False,1,5,2024,1,False,,1.0,16
2024-01-30,P001,Butter Croissant,Pastry,11,38.5,13.2,25.3,6,65.71,6.0,7.0,2.0,11.0,10.75,Tuesday,1,False,1,5,2024,1,False,,1.0,15
2024-01-31,P001,Butter Croissant,Pastry,4,14.0,4.8,9.2,3,65.71,11.0,12.0,2.0,11.571428571428571,10.758620689655173,Wednesday,2,False,1,5,2024,1,False,,1.0,14
2024-02-01,P001,Butter Croissant,Pastry,12,42.0,14.399999999999999,27.599999999999998,8,65.71,4.0,16.0,16.0,10.428571428571429,10.533333333333333,Thursday,3,False,2,5,2024,1,False,,1.0,13
2024-02-02,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,8,65.71,12.0,11.0,5.0,9.857142857142858,10.566666666666666,Friday,4,False,2,5,2024,1,False,,1.0,12
2024-02-03,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,7,65.71,15.0,13.0,17.0,10.428571428571429,10.766666666666667,Saturday,5,True,2,5,2024,1,False,,1.0,11
2024-02-04,P001,Butter Croissant,Pastry,12,42.0,14.399999999999999,27.599999999999998,6,65.71,15.0,12.0,17.0,10.714285714285714,10.933333333333334,Sunday,6,True,2,5,2024,1,False,,1.0,10
2024-02-05,P001,Butter Croissant,Pastry,5,17.5,6.0,11.5,3,65.71,12.0,6.0,15.0,10.714285714285714,10.966666666666667,Monday,0,False,2,6,2024,1,False,,1.0,9
2024-02-06,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,7,65.71,5.0,11.0,7.0,10.571428571428571,11.0,Tuesday,1,False,2,6,2024,1,False,,1.0,8
2024-02-07,P001,Butter Croissant,Pastry,14,49.0,16.8,32.199999999999996,6,65.71,10.0,4.0,12.0,10.428571428571429,10.766666666666667,Wednesday,2,False,2,6,2024,1,False,,1.0,7
2024-02-08,P001,Butter Croissant,Pastry,18,63.0,21.6,41.4,10,65.71,14.0,12.0,16.0,11.857142857142858,10.733333333333333,Thursday,3,False,2,6,2024,1,False,,1.0,6
2024-02-09,P001,Butter Croissant,Pastry,12,42.0,14.4,27.599999999999998,7,65.71,18.0,15.0,11.0,12.714285714285714,10.9,Friday,4,False,2,6,2024,1,False,,1.0,5
2024-02-10,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,7,65.71,12.0,15.0,13.0,12.285714285714286,10.7,Saturday,5,True,2,6,2024,1,False,,1.0,4
2024-02-11,P001,Butter Croissant,Pastry,34,119.0,40.8,78.2,20,65.71,13.0,12.0,12.0,12.0,10.933333333333334,Sunday,6,True,2,6,2024,1,True,Valentine's Day,2.2,3
2024-02-12,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,34.0,5.0,6.0,15.142857142857142,11.833333333333334,Monday,0,False,2,7,2024,1,True,Valentine's Day,2.2,2
2024-02-13,P001,Butter Croissant,Pastry,31,108.5,37.2,71.3,16,65.71,13.0,10.0,11.0,16.285714285714285,11.9,Tuesday,1,False,2,7,2024,1,True,Valentine's Day,2.2,1
2024-02-14,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,10,65.71,31.0,14.0,4.0,19.285714285714285,12.733333333333333,Wednesday,2,False,2,7,2024,1,True,Valentine's Day,2.2,0
2024-02-15,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,6,65.71,16.0,18.0,12.0,19.571428571428573,12.866666666666667,Thursday,3,False,2,7,2024,1,True,Valentine's Day,2.2,30
2024-02-16,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,7,65.71,10.0,12.0,15.0,18.428571428571427,13.133333333333333,Friday,4,False,2,7,2024,1,True,Valentine's Day,2.2,30
2024-02-17,P001,Butter Croissant,Pastry,52,182.0,62.4,119.6,32,65.71,15.0,13.0,15.0,18.857142857142858,13.566666666666666,Saturday,5,True,2,7,2024,1,True,Valentine's Day,2.2,30
2024-02-18,P001,Butter Croissant,Pastry,18,63.0,21.6,41.4,9,65.71,52.0,34.0,12.0,24.428571428571427,14.766666666666667,Sunday,6,True,2,7,2024,1,False,,1.0,30
2024-02-19,P001,Butter Croissant,Pastry,6,21.0,7.2,13.8,4,65.71,18.0,13.0,5.0,22.142857142857142,15.2,Monday,0,False,2,8,2024,1,False,,1.0,30
2024-02-20,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,6,65.71,6.0,31.0,10.0,21.142857142857142,14.833333333333334,Tuesday,1,False,2,8,2024,1,False,,1.0,30
2024-02-21,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,13.0,16.0,14.0,18.571428571428573,14.7,Wednesday,2,False,2,8,2024,1,False,,1.0,30
2024-02-22,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,13.0,10.0,18.0,18.142857142857142,14.633333333333333,Thursday,3,False,2,8,2024,1,False,,1.0,30
2024-02-23,P001,Butter Croissant,Pastry,12,42.0,14.4,27.6,5,65.71,13.0,15.0,12.0,18.571428571428573,14.833333333333334,Friday,4,False,2,8,2024,1,False,,1.0,30
2024-02-24,P001,Butter Croissant,Pastry,40,140.0,48.0,92.0,22,65.71,12.0,52.0,13.0,18.142857142857142,14.833333333333334,Saturday,5,True,2,8,2024,1,False,,1.0,30
2024-02-25,P001,Butter Croissant,Pastry,19,66.5,22.8,43.699999999999996,12,65.71,40.0,18.0,34.0,16.428571428571427,15.633333333333333,Sunday,6,True,2,8,2024,1,False,,1.0,30
2024-02-26,P001,Butter Croissant,Pastry,22,77.0,26.4,50.6,12,65.71,19.0,6.0,13.0,16.571428571428573,15.9,Monday,0,False,2,9,2024,1,False,,1.0,30
2024-02-27,P001,Butter Croissant,Pastry,3,10.5,3.5999999999999996,6.8999999999999995,2,65.71,22.0,13.0,31.0,18.857142857142858,16.2,Tuesday,1,False,2,9,2024,1,False,,1.0,30
2024-02-29,P001,Butter Croissant,Pastry,4,14.0,4.8,9.2,2,65.71,3.0,13.0,16.0,17.428571428571427,15.9,Thursday,3,False,2,9,2024,1,False,,1.0,30
2024-03-01,P001,Butter Croissant,Pastry,24,84.0,28.8,55.2,11,65.71,4.0,13.0,10.0,16.142857142857142,15.833333333333334,Friday,4,False,3,9,2024,1,False,,1.0,30
2024-03-02,P001,Butter Croissant,Pastry,30,105.0,36.0,69.0,15,65.71,24.0,12.0,15.0,17.714285714285715,16.266666666666666,Saturday,5,True,3,9,2024,1,False,,1.0,30
2024-03-03,P001,Butter Croissant,Pastry,20,70.0,24.0,46.0,12,65.71,30.0,40.0,52.0,20.285714285714285,17.133333333333333,Sunday,6,True,3,9,2024,1,False,,1.0,30
2024-03-04,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,5,65.71,20.0,19.0,18.0,17.428571428571427,17.4,Monday,0,False,3,10,2024,1,False,,1.0,30
2024-03-05,P001,Butter Croissant,Pastry,2,7.0,2.4,4.6,2,65.71,10.0,22.0,6.0,16.142857142857142,17.233333333333334,Tuesday,1,False,3,10,2024,1,False,,1.0,30
2024-03-06,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,8,65.71,2.0,3.0,13.0,13.285714285714286,16.8,Wednesday,2,False,3,10,2024,1,False,,1.0,30
2024-03-07,P001,Butter Croissant,Pastry,7,24.5,8.4,16.1,5,65.71,16.0,4.0,13.0,15.142857142857142,16.933333333333334,Thursday,3,False,3,10,2024,1,False,,1.0,30
2024-03-08,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,4,65.71,7.0,24.0,13.0,15.571428571428571,17.0,Friday,4,False,3,10,2024,1,False,,1.0,30
