shift_date,role,scheduled_count,recommended_count,staff_delta,hourly_rate,shift_hours,overstaffing_cost,is_weekend
2024-01-01,Head Baker,2,2,0,28,8,0,False
2024-01-01,Pastry Chef,2,2,0,24,8,0,False
2024-01-01,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-01,Store Associate,3,4,-1,16,8,0,False
2024-01-01,Decorator,1,1,0,22,8,0,False
2024-01-01,Delivery,2,2,0,17,8,0,False
2024-01-02,Head Baker,2,2,0,28,8,0,False
2024-01-02,Pastry Chef,2,2,0,24,8,0,False
2024-01-02,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-02,Store Associate,4,4,0,16,8,0,False
2024-01-02,Decorator,1,1,0,22,8,0,False
2024-01-02,Delivery,2,2,0,17,8,0,False
2024-01-03,Head Baker,2,2,0,28,8,0,False
2024-01-03,Pastry Chef,3,2,1,24,8,192,False
2024-01-03,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-03,Store Associate,4,4,0,16,8,0,False
2024-01-03,Decorator,1,1,0,22,8,0,False
2024-01-03,Delivery,2,2,0,17,8,0,False
2024-01-04,Head Baker,2,2,0,28,8,0,False
2024-01-04,Pastry Chef,1,2,-1,24,8,0,False
2024-01-04,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-04,Store Associate,4,4,0,16,8,0,False
2024-01-04,Decorator,2,1,1,22,8,176,False
2024-01-04,Delivery,2,2,0,17,8,0,False
2024-01-05,Head Baker,2,2,0,28,8,0,False
2024-01-05,Pastry Chef,2,2,0,24,8,0,False
2024-01-05,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-05,Store Associate,5,4,1,16,8,128,False
2024-01-05,Decorator,1,1,0,22,8,0,False
2024-01-05,Delivery,1,2,-1,17,8,0,False
2024-01-06,Head Baker,3,3,0,28,8,0,True
2024-01-06,Pastry Chef,3,3,0,24,8,0,True
2024-01-06,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-06,Store Associate,5,7,-2,16,8,0,True
2024-01-06,Decorator,1,1,0,22,8,0,True
2024-01-06,Delivery,3,3,0,17,8,0,True
2024-01-07,Head Baker,3,3,0,28,8,0,True
2024-01-07,Pastry Chef,3,3,0,24,8,0,True
2024-01-07,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-07,Store Associate,6,7,-1,16,8,0,True
2024-01-07,Decorator,2,1,1,22,8,176,True
2024-01-07,Delivery,3,3,0,17,8,0,True
2024-01-08,Head Baker,1,2,-1,28,8,0,False
2024-01-08,Pastry Chef,2,2,0,24,8,0,False
2024-01-08,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-08,Store Associate,4,4,0,16,8,0,False
2024-01-08,Decorator,1,1,0,22,8,0,False
2024-01-08,Delivery,1,2,-1,17,8,0,False
2024-01-09,Head Baker,2,2,0,28,8,0,False
2024-01-09,Pastry Chef,2,2,0,24,8,0,False
2024-01-09,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-09,Store Associate,4,4,0,16,8,0,False
2024-01-09,Decorator,2,1,1,22,8,176,False
2024-01-09,Delivery,2,2,0,17,8,0,False
2024-01-10,Head Baker,2,2,0,28,8,0,False
2024-01-10,Pastry Chef,2,2,0,24,8,0,False
2024-01-10,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-10,Store Associate,4,4,0,16,8,0,False
2024-01-10,Decorator,1,1,0,22,8,0,False
2024-01-10,Delivery,2,2,0,17,8,0,False
2024-01-11,Head Baker,3,2,1,28,8,224,False
2024-01-11,Pastry Chef,2,2,0,24,8,0,False
2024-01-11,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-11,Store Associate,5,4,1,16,8,128,False
2024-01-11,Decorator,1,1,0,22,8,0,False
2024-01-11,Delivery,2,2,0,17,8,0,False
2024-01-12,Head Baker,2,2,0,28,8,0,False
2024-01-12,Pastry Chef,2,2,0,24,8,0,False
2024-01-12,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-12,Store Associate,4,4,0,16,8,0,False
2024-01-12,Decorator,1,1,0,22,8,0,False
2024-01-12,Delivery,2,2,0,17,8,0,False
2024-01-13,Head Baker,3,3,0,28,8,0,True
2024-01-13,Pastry Chef,3,3,0,24,8,0,True
2024-01-13,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-13,Store Associate,6,7,-1,16,8,0,True
2024-01-13,Decorator,1,1,0,22,8,0,True
2024-01-13,Delivery,3,3,0,17,8,0,True
2024-01-14,Head Baker,3,3,0,28,8,0,True
2024-01-14,Pastry Chef,4,3,1,24,8,192,True
2024-01-14,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-14,Store Associate,5,7,-2,16,8,0,True
2024-01-14,Decorator,1,1,0,22,8,0,True
2024-01-14,Delivery,3,3,0,17,8,0,True
2024-01-15,Head Baker,2,2,0,28,8,0,False
2024-01-15,Pastry Chef,2,2,0,24,8,0,False
2024-01-15,Kitchen Assistant,2,3,-1,18,8,0,False
2024-01-15,Store Associate,4,4,0,16,8,0,False
2024-01-15,Decorator,2,1,1,22,8,176,False
2024-01-15,Delivery,2,2,0,17,8,0,False
2024-01-16,Head Baker,1,2,-1,28,8,0,False
2024-01-16,Pastry Chef,2,2,0,24,8,0,False
2024-01-16,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-16,Store Associate,4,4,0,16,8,0,False
2024-01-16,Decorator,2,1,1,22,8,176,False
2024-01-16,Delivery,2,2,0,17,8,0,False
2024-01-17,Head Baker,2,2,0,28,8,0,False
2024-01-17,Pastry Chef,3,2,1,24,8,192,False
2024-01-17,Kitchen Assistant,2,3,-1,18,8,0,False
2024-01-17,Store Associate,4,4,0,16,8,0,False
2024-01-17,Decorator,1,1,0,22,8,0,False
2024-01-17,Delivery,2,2,0,17,8,0,False
2024-01-18,Head Baker,2,2,0,28,8,0,False
2024-01-18,Pastry Chef,2,2,0,24,8,0,False
2024-01-18,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-18,Store Associate,4,4,0,16,8,0,False
2024-01-18,Decorator,1,1,0,22,8,0,False
2024-01-18,Delivery,2,2,0,17,8,0,False
2024-01-19,Head Baker,2,2,0,28,8,0,False
2024-01-19,Pastry Chef,2,2,0,24,8,0,False
2024-01-19,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-19,Store Associate,4,4,0,16,8,0,False
2024-01-19,Decorator,1,1,0,22,8,0,False
2024-01-19,Delivery,2,2,0,17,8,0,False
2024-01-20,Head Baker,4,3,1,28,8,224,True
2024-01-20,Pastry Chef,3,3,0,24,8,0,True
2024-01-20,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-20,Store Associate,6,7,-1,16,8,0,True
2024-01-20,Decorator,1,1,0,22,8,0,True
2024-01-20,Delivery,3,3,0,17,8,0,True
2024-01-21,Head Baker,3,3,0,28,8,0,True
2024-01-21,Pastry Chef,3,3,0,24,8,0,True
2024-01-21,Kitchen Assistant,3,5,-2,18,8,0,True
2024-01-21,Store Associate,6,7,-1,16,8,0,True
2024-01-21,Decorator,1,1,0,22,8,0,True
2024-01-21,Delivery,3,3,0,17,8,0,True
2024-01-22,Head Baker,2,2,0,28,8,0,False
2024-01-22,Pastry Chef,2,2,0,24,8,0,False
2024-01-22,Kitchen Assistant,2,3,-1,18,8,0,False
2024-01-22,Store Associate,4,4,0,16,8,0,False
2024-01-22,Decorator,1,1,0,22,8,0,False
2024-01-22,Delivery,2,2,0,17,8,0,False
2024-01-23,Head Baker,2,2,0,28,8,0,False
2024-01-23,Pastry Chef,2,2,0,24,8,0,False
2024-01-23,Kitchen Assistant,2,3,-1,18,8,0,False
2024-01-23,Store Associate,3,4,-1,16,8,0,False
2024-01-23,Decorator,1,1,0,22,8,0,False
2024-01-23,Delivery,2,2,0,17,8,0,False
2024-01-24,Head Baker,2,2,0,28,8,0,False
2024-01-24,Pastry Chef,2,2,0,24,8,0,False
2024-01-24,Kitchen Assistant,3,3,0,18,8,0,False
